time,temperature_2m (°C),relative_humidity_2m (%),weather_code (wmo code),rain (mm),snowfall (cm),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa)
2020-01-01T00:00,4.1,91,2,0.00,0.00,0.5,1003.8,997.5
2020-01-01T01:00,4.7,88,51,0.10,0.00,0.5,1003.7,997.4
2020-01-01T02:00,4.4,85,51,0.10,0.00,0.2,1004.1,997.8
2020-01-01T03:00,4.3,81,3,0.00,0.00,0.4,1004.0,997.7
2020-01-01T04:00,4.2,77,2,0.00,0.00,-0.4,1004.2,997.9
2020-01-01T05:00,3.0,74,0,0.00,0.00,-1.9,1004.5,998.2
2020-01-01T06:00,1.8,76,0,0.00,0.00,-3.0,1004.4,998.1
2020-01-01T07:00,1.3,79,0,0.00,0.00,-3.5,1004.9,998.5
2020-01-01T08:00,1.0,77,0,0.00,0.00,-4.3,1005.2,998.8
2020-01-01T09:00,0.6,76,2,0.00,0.00,-4.5,1005.2,998.8
2020-01-01T10:00,0.7,70,3,0.00,0.00,-4.6,1005.4,999.0
2020-01-01T11:00,0.4,65,1,0.00,0.00,-4.9,1005.9,999.5
2020-01-01T12:00,1.3,71,0,0.00,0.00,-3.4,1006.6,1000.2
2020-01-01T13:00,1.7,63,3,0.00,0.00,-3.2,1007.0,1000.6
2020-01-01T14:00,2.6,54,2,0.00,0.00,-2.8,1007.7,1001.4
2020-01-01T15:00,3.3,48,2,0.00,0.00,-3.3,1008.3,1002.0
2020-01-01T16:00,4.0,42,2,0.00,0.00,-3.2,1007.9,1001.6
2020-01-01T17:00,4.1,41,3,0.00,0.00,-2.9,1007.2,1000.9
2020-01-01T18:00,4.1,41,2,0.00,0.00,-2.8,1006.7,1000.4
2020-01-01T19:00,4.2,41,3,0.00,0.00,-2.5,1007.0,1000.7
2020-01-01T20:00,3.8,44,3,0.00,0.00,-2.6,1007.6,1001.3
2020-01-01T21:00,3.5,46,3,0.00,0.00,-2.4,1008.4,1002.1
2020-01-01T22:00,2.9,47,2,0.00,0.00,-2.8,1009.3,1003.0
2020-01-01T23:00,1.8,51,2,0.00,0.00,-3.9,1010.2,1003.8
2020-01-02T00:00,0.8,59,0,0.00,0.00,-4.7,1011.8,1005.4
2020-01-02T01:00,0.4,62,0,0.00,0.00,-4.7,1012.1,1005.7
2020-01-02T02:00,-0.2,66,0,0.00,0.00,-5.1,1012.6,1006.2
2020-01-02T03:00,-0.7,67,0,0.00,0.00,-5.3,1012.8,1006.3
2020-01-02T04:00,-1.5,73,0,0.00,0.00,-5.6,1013.0,1006.5
2020-01-02T05:00,-1.9,77,0,0.00,0.00,-6.1,1013.1,1006.6
2020-01-02T06:00,-2.3,81,0,0.00,0.00,-6.3,1013.3,1006.8
2020-01-02T07:00,-2.3,81,1,0.00,0.00,-6.6,1013.6,1007.1
2020-01-02T08:00,-2.4,82,2,0.00,0.00,-6.5,1013.6,1007.1
2020-01-02T09:00,-2.2,80,2,0.00,0.00,-6.5,1013.9,1007.4
2020-01-02T10:00,-2.0,80,1,0.00,0.00,-6.5,1014.3,1007.8
2020-01-02T11:00,-2.1,81,1,0.00,0.00,-6.5,1014.4,1007.9
2020-01-02T12:00,-1.5,80,1,0.00,0.00,-6.0,1015.5,1009.0
2020-01-02T13:00,-1.1,80,0,0.00,0.00,-5.5,1015.6,1009.1
2020-01-02T14:00,0.7,72,0,0.00,0.00,-3.9,1015.9,1009.5
2020-01-02T15:00,3.0,64,0,0.00,0.00,-1.5,1016.0,1009.6
2020-01-02T16:00,4.9,59,0,0.00,0.00,0.3,1015.4,1009.1
2020-01-02T17:00,6.5,56,0,0.00,0.00,1.7,1014.4,1008.1
2020-01-02T18:00,8.1,50,3,0.00,0.00,3.2,1013.3,1007.0
2020-01-02T19:00,8.8,46,3,0.00,0.00,4.0,1013.0,1006.8
2020-01-02T20:00,8.5,50,3,0.00,0.00,4.6,1012.6,1006.4
2020-01-02T21:00,6.7,59,3,0.00,0.00,3.5,1012.0,1005.7
2020-01-02T22:00,5.0,64,3,0.00,0.00,1.2,1011.9,1005.6
2020-01-02T23:00,5.1,72,1,0.00,0.00,0.8,1012.3,1006.0
2020-01-03T00:00,4.3,77,1,0.00,0.00,0.7,1012.1,1005.8
2020-01-03T01:00,4.3,79,3,0.00,0.00,0.7,1012.2,1005.9
2020-01-03T02:00,3.8,82,3,0.00,0.00,0.4,1012.2,1005.9
2020-01-03T03:00,3.6,82,3,0.00,0.00,0.4,1011.8,1005.5
2020-01-03T04:00,2.7,86,2,0.00,0.00,-0.6,1011.3,1004.9
2020-01-03T05:00,2.1,86,3,0.00,0.00,-1.8,1010.4,1004.0
2020-01-03T06:00,5.1,75,3,0.00,0.00,1.8,1010.6,1004.3
2020-01-03T07:00,6.3,69,3,0.00,0.00,2.5,1010.3,1004.0
2020-01-03T08:00,6.2,69,3,0.00,0.00,2.5,1010.1,1003.8
2020-01-03T09:00,6.1,71,3,0.00,0.00,2.6,1009.9,1003.6
2020-01-03T10:00,5.6,77,51,0.30,0.00,2.6,1010.4,1004.1
2020-01-03T11:00,4.8,92,51,0.30,0.00,2.1,1010.5,1004.2
2020-01-03T12:00,4.3,96,53,0.70,0.00,1.7,1010.1,1003.8
